migration_status	genomic_migration	genomic_Ne	scenario	model	simulation_id	batch	row_in_batch	N1	N2	Na	founders1	founders2	Tdem1	Tdem2	shape_N_a	shape_N_b	Tsplit	Tam	Tsc	M12	nBarriersM12	M21	nBarriersM21
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000080	0	80	0.46816	1.3455	1.73976	0.46115	0.71497	0.23267	0.39503	NA	NA	0.49281	0.25171	NA	1.75931	NA	16.44624	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000081	0	81	1.16619	0.10328	0.641	0.93812	0.69719	0.46728	0.42992	NA	NA	0.50981	0.35655	NA	15.18465	NA	29.21184	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000082	0	82	0.34324	1.522	0.15618	0.80258	0.86578	0.00785	0.00241	NA	NA	0.00853	0.00736	NA	23.16243	NA	37.76218	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000083	0	83	1.0555	1.57035	1.66777	0.45952	0.23115	0.21657	0.04128	NA	NA	0.64328	0.60132	NA	5.95244	NA	22.79242	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000084	0	84	0.94744	0.57959	0.00502	0.62246	0.27493	0.08977	0.029	NA	NA	0.16273	0.15252	NA	36.37369	NA	21.47591	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000085	0	85	0.33907	0.02825	1.47992	0.13853	0.09316	0.01007	0.42901	NA	NA	0.65455	0.43684	NA	35.65303	NA	24.64633	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000086	0	86	1.87091	0.9648	1.35147	0.5391	0.55023	0.25751	0.1818	NA	NA	0.49148	0.38374	NA	8.25246	NA	27.311	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000087	0	87	0.91073	0.5282	0.82554	0.36617	0.80217	0.17694	0.32213	NA	NA	0.32424	0.25567	NA	20.76123	NA	39.1943	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000088	0	88	1.14499	1.44788	0.95533	0.52829	0.57282	0.5822	0.09356	NA	NA	0.67321	0.44549	NA	36.53138	NA	28.7978	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000089	0	89	0.49221	0.88849	1.14526	0.31143	0.73849	0.80753	0.59449	NA	NA	0.85839	0.56483	NA	9.22516	NA	9.12796	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000090	0	90	1.59178	1.90132	1.45144	0.01239	0.81968	0.16115	0.31601	NA	NA	0.6579	0.42991	NA	25.97256	NA	34.61449	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000091	0	91	0.46882	1.03688	0.33377	0.24724	0.4823	0.0246	0.01857	NA	NA	0.0537	0.04537	NA	28.96398	NA	5.83088	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000092	0	92	0.2428	1.33632	0.43682	0.06159	0.65493	0.25497	0.61352	NA	NA	0.81979	0.47681	NA	20.00603	NA	12.63926	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000093	0	93	1.91352	0.39785	0.15064	0.87364	0.60917	0.61613	0.66552	NA	NA	0.67477	0.44051	NA	18.79871	NA	32.9171	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000094	0	94	1.91798	1.5385	0.1258	0.06218	0.12802	0.08116	0.08956	NA	NA	0.56387	0.50444	NA	19.52142	NA	15.49978	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000095	0	95	1.85668	0.08232	0.00349	0.60148	0.88487	0.42128	0.17974	NA	NA	0.45821	0.31584	NA	33.36889	NA	37.42077	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000096	0	96	1.67005	0.23123	1.2996	0.17129	0.89503	0.76929	0.20589	NA	NA	0.78649	0.55612	NA	38.68525	NA	21.67154	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000097	0	97	1.80136	1.27205	0.2171	0.92586	0.78077	0.47882	0.12122	NA	NA	0.63972	0.55495	NA	29.74305	NA	37.667	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000098	0	98	0.66626	1.18846	0.40237	0.99761	0.42312	0.09724	0.24565	NA	NA	0.44561	0.29137	NA	34.4595	NA	32.59925	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000099	0	99	0.67402	1.26579	1.66062	0.71993	0.25318	0.4046	0.10687	NA	NA	0.44229	0.36371	NA	22.05073	NA	15.94181	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000100	0	100	0.86637	0.62469	0.32036	0.08585	0.97417	0.40621	0.10106	NA	NA	0.63205	0.35791	NA	10.58793	NA	38.97217	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000101	0	101	1.80822	0.91785	0.07823	0.75101	0.47437	0.41126	0.5794	NA	NA	0.60418	0.46608	NA	23.54843	NA	35.60673	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000102	0	102	0.58942	0.79887	0.56736	0.88275	0.2949	0.36982	0.21668	NA	NA	0.75475	0.58601	NA	19.76992	NA	26.94353	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000103	0	103	0.61748	1.06	1.26237	0.09876	0.82259	0.03023	0.32557	NA	NA	0.50954	0.32346	NA	32.72061	NA	34.9252	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000104	0	104	0.67773	1.46426	1.9588699999999999	0.67319	0.03087	0.02009	0.06498	NA	NA	0.3094	0.15493	NA	19.95643	NA	21.15598	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000105	0	105	1.10489	0.72254	1.39691	0.22135	0.87698	0.25768	0.24313	NA	NA	0.36668	0.25888	NA	2.86414	NA	22.46851	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000106	0	106	0.45448	1.12484	1.36477	0.97194	0.73305	0.27413	0.49808	NA	NA	0.79736	0.50428	NA	15.89274	NA	4.33816	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000107	0	107	0.24617	1.312	0.33049	0.55521	0.05812	0.43872	0.45716	NA	NA	0.45777	0.27998	NA	32.3077	NA	5.22555	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000108	0	108	1.07161	1.5179	0.50518	0.39741	0.07835	0.3258	0.10997	NA	NA	0.3324	0.32666	NA	15.2849	NA	14.23571	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000109	0	109	0.15507	1.42967	0.80119	0.50837	0.47882	0.05731	0.00455	NA	NA	0.08871	0.08796	NA	36.69596	NA	3.12165	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000110	0	110	1.95597	1.92251	0.71038	0.06891	0.31493	0.00653	0.009	NA	NA	0.01057	0.00713	NA	10.53635	NA	16.80622	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000111	0	111	1.65508	0.45264	1.71394	0.25947	0.73961	8.1e-4	0.01645	NA	NA	0.10583	0.05488	NA	20.98339	NA	3.43454	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000112	0	112	0.8153	0.96929	0.32789	0.31377	0.97093	0.16867	0.12761	NA	NA	0.54278	0.44775	NA	23.36377	NA	21.12923	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000113	0	113	0.01643	1.12608	0.37853	0.46616	0.9674	0.13407	0.08611	NA	NA	0.16145	0.08128	NA	12.80723	NA	34.16316	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000114	0	114	0.842	0.8159	0.85501	0.28081	0.6319	0.64239	0.18801	NA	NA	0.67497	0.36055	NA	32.93917	NA	21.24141	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000115	0	115	1.46346	1.25252	1.89586	0.95641	0.23431	0.41391	0.23228	NA	NA	0.42159	0.33358	NA	16.07097	NA	3.6313	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000116	0	116	1.97101	1.98227	1.45701	0.67051	0.72833	0.26317	0.34881	NA	NA	0.67736	0.38245	NA	5.61508	NA	1.71675	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000117	0	117	1.41211	1.20316	1.39351	0.63548	0.83771	0.2763	0.42282	NA	NA	0.50322	0.37667	NA	37.17771	NA	6.94051	NA
isolation	homogeneous	homogeneous	AM	AM_1M_1N	AM_1M_1N_00_000118	0	118	0.01046	1.30481	0.60117	0.59639	0.48987000000000003	0.28497	0.18694	NA	NA	0.30819	0.15839	NA	32.36428	NA	3.16748	NA
